mouse_gene,human_gene,ensembl,ot_symbol,biotype,target_classes,tractability_buckets,has_smallmolecule_tractability,has_antibody_tractability,ot_is_essential,depmap_n_screens,depmap_mean_gene_effect,depmap_frac_essential,n_safety_liabilities,safety_events,n_mouse_phenotypes,mouse_skeletal_phenotypes,chembl_target_ids,n_compounds_chembl,n_compounds_dgidb,n_approved_compounds
Hnrnpc,HNRNPCL1,ENSG00000179172,HNRNPCL1,protein_coding,,PR:Database Ubiquitination,False,False,False,5,0.0483,0.0,0,,11,,,0,0,0
Ctbp1,CTBP1,ENSG00000159692,CTBP1,protein_coding,,SM:Structure with Ligand; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,True,False,False,1258,0.0266,0.019,0,,5,,,0,0,0
Dcp2,DCP2,ENSG00000172795,DCP2,protein_coding,,SM:Structure with Ligand; PR:Database Ubiquitination; PR:Half-life Data,True,False,False,1257,-0.2265,0.108,0,,0,,,0,0,0
Sufu,SUFU,ENSG00000107882,SUFU,protein_coding,Unclassified protein,SM:High-Quality Pocket; PR:UniProt Ubiquitination; PR:Database Ubiquitination,True,False,False,1258,0.0492,0.004,0,,60,abnormal limb bud morphology; abnormal limb morphology,CHEMBL5390,0,1,1
Chd8,CHD8,ENSG00000100888,CHD8,protein_coding,Enzyme; Hydrolase,PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1258,-0.2767,0.204,0,,37,,CHEMBL6066165,0,0,0
Traf3ip1,TRAF3IP1,ENSG00000204104,IFT54,protein_coding,,PR:Database Ubiquitination,False,False,,0,,,0,,19,,,0,0,0
Med26,MED26,ENSG00000105085,MED26,protein_coding,,SM:Structure with Ligand; PR:Database Ubiquitination,True,False,True,1258,-0.9447,0.923,0,,0,,,0,0,0
Cd200,CD200,ENSG00000091972,CD200,protein_coding,Unclassified protein,AB:Advanced Clinical; AB:GO CC high conf; AB:UniProt loc med conf; AB:UniProt SigP or TMHMM; PR:Half-life Data,False,True,False,1254,0.074,0.001,0,,6,,CHEMBL3712870,1,2,0
Eed,EED,ENSG00000074266,EED,protein_coding,Unclassified protein,SM:Structure with Ligand; SM:High-Quality Ligand; SM:Med-Quality Pocket; PR:Literature; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.2767,0.233,0,,2,disproportionate dwarf,CHEMBL2189117,0,5,1
Gnas,GNAS,ENSG00000087460,GNAS,protein_coding,Other membrane protein,,False,False,False,1258,-0.0385,0.006,0,,117,decreased bone mineral density; ectopic bone,CHEMBL4377;CHEMBL4295849,0,35,5
Suz12,SUZ12,ENSG00000178691,SUZ12,protein_coding,Unclassified protein,SM:Structure with Ligand; SM:High-Quality Ligand; PR:Literature; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.4041,0.354,0,,38,hindlimb paralysis,CHEMBL2189118,0,0,0
Strap,STRAP,ENSG00000023734,STRAP,protein_coding,Unclassified protein,PR:Database Ubiquitination; PR:Half-life Data,False,False,True,1257,-0.8354,0.812,0,,0,,CHEMBL6067330,0,1,0
Pax9,PAX9,ENSG00000198807,PAX9,protein_coding,,PR:Database Ubiquitination,False,False,False,1255,0.0352,0.005,0,,84,abnormal Reichert's cartilage morphology; abnormal craniofacial bone morphology; abnormal hyoid bone greater horn morphology; abnormal hyoid bone lesser horn morphology; abnormal hyoid bone morphology; abnormal inferior horn of thyroid cartilage morphology; abnormal laryngeal cartilage morphology; abnormal limb development; abnormal superior horn of thyroid cartilage morphology; abnormal thyroid cartilage morphology,,0,0,0
Edc4,EDC4,ENSG00000038358,EDC4,protein_coding,,PR:Database Ubiquitination; PR:Half-life Data,False,False,True,1258,-0.4184,0.295,0,,0,,,0,0,0
Runx2,RUNX2,ENSG00000124813,RUNX2,protein_coding,,SM:Structure with Ligand; PR:UniProt Ubiquitination; PR:Database Ubiquitination,True,False,False,1258,-0.2163,0.056,0,,140,abnormal bone marrow cavity morphology; abnormal bone mineralization; abnormal bone ossification; abnormal bone structure; abnormal cartilage development; abnormal cartilage morphology; abnormal chondrocyte morphology; abnormal craniofacial bone morphology; abnormal hyoid bone morphology; abnormal interparietal bone morphology,,0,1,0
Rbpj,RBPJ,ENSG00000168214,RBPJ,protein_coding,Transcription factor,SM:Med-Quality Pocket; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder,True,False,False,1258,-0.1168,0.033,0,,36,decreased bone mineral density; limb grasping,CHEMBL4105709,0,0,0
Smurf2,SMURF2,ENSG00000108854,SMURF2,protein_coding,Enzyme; Transferase,SM:High-Quality Pocket; AB:UniProt loc high conf; AB:GO CC med conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Small Molecule Binder,True,True,False,1257,-0.1961,0.04,0,,5,,CHEMBL4523460,0,0,0
Hdac5,HDAC5,ENSG00000108840,HDAC5,protein_coding,Epigenetic regulator; Eraser; HDAC class IIa; Histone deacetylase,SM:Approved Drug; SM:Structure with Ligand; SM:High-Quality Ligand; SM:Druggable Family; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data; PR:Small Molecule Binder; OC:Approved Drug,True,False,False,1258,-0.0779,0.005,0,,0,,CHEMBL2563,0,43,10
Wdpcp,WDPCP,ENSG00000143951,WDPCP,protein_coding,,AB:UniProt loc med conf; AB:GO CC med conf; PR:Database Ubiquitination,False,True,False,1258,-0.109,0.004,0,,25,,,0,0,0
Ppp2r5d,PPP2R5D,ENSG00000112640,PPP2R5D,protein_coding,Unclassified protein,PR:Database Ubiquitination; PR:Half-life Data,False,False,False,1257,-0.0155,0.002,0,,8,,CHEMBL6067334,0,3,3
Tsc2,TSC2,ENSG00000103197,TSC2,protein_coding,Unclassified protein,AB:UniProt loc high conf; PR:UniProt Ubiquitination; PR:Database Ubiquitination; PR:Half-life Data,False,True,False,1258,-0.091,0.182,0,,44,,CHEMBL6067627,0,17,9
Det1,DET1,ENSG00000140543,DET1,protein_coding,,PR:Database Ubiquitination,False,False,False,1256,-0.293,0.2,0,,0,,,0,0,0
